date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
01-01,4,29,28664,38,0,0,0,0,55497,30462
01-11,344,0,23746,5,1895,0,0,0,28678,19128
01-21,0,0,36047,0,23673,22081,0,31295,55282,12138
02-01,0,0,11823,3,27913,14221,0,39319,31955,359
02-11,556,0,8211,0,47968,1309,0,4696,15599,94885
02-21,2506,0,15831,0,11339,11855,20334,21863,13910,78184
03-01,2393,0,3666,0,6247,17187,23430,69954,16621,77906
03-11,633,1224,3518,7409,14029,1924,15440,19131,97390,124902
03-21,10442,3852,9693,8250,10184,611,23888,12642,55392,80570
04-01,1316,1096,8343,6529,7104,0,28157,254,44617,72756
04-11,1346,324,12262,392,44689,0,37754,156923,35285,140009
04-21,5891,0,5970,18,57958,39862,5587,45565,32574,114540
05-01,8292,3800,11732,0,28679,57000,10845,39364,94520,56517
05-11,6007,1710,6114,6476,39250,38643,44230,97612,40857,57650
05-21,873,6820,9282,50529,21780,7565,31254,68220,20314,112896
06-01,3176,3656,6643,34178,36449,29769,59548,58050,41040,99771
06-11,2648,6854,5420,31785,16870,8803,42956,84833,172063,114490
06-21,12187,21142,598,5487,14761,31829,98253,79482,42773,99067
07-01,7297,13585,252,3961,8970,6836,75423,13144,35801,111031
07-11,6245,26475,50,336,1080,2623,51632,4083,1805,37482
07-21,1758,9391,8,75310,13167,19054,7937,0,346,21931
08-01,2007,10567,0,35033,14995,44386,0,0,0,2729
08-11,201,9378,0,28735,12992,42679,0,0,0,1241
08-21,4459,12616,16267,27121,4386,24629,28977,52928,0,0
09-01,6276,2408,13460,4609,81248,14641,47327,16634,0,0
09-11,3561,2125,20028,1799,22019,873,25090,79878,0,0
09-21,2582,123,7000,92,15362,215,14353,7305,0,0
10-01,1969,16,7884,0,1772,0,500,2124,0,0
10-11,6163,0,1294,0,0,0,43631,27898,0,0
10-21,2066,0,1509,5909,3282,0,11385,24874,0,0
11-01,7516,0,109,8177,6244,13232,4580,14754,30048,0
11-11,4671,23982,93,3793,10593,15545,26952,31132,40364,0
11-21,2981,19094,26391,421,11457,26208,40682,53577,32687,0
12-01,317,6587,5294,11,33970,20646,6053,17843,51408,0
12-11,162,3441,2557,0,10072,1823,1905,10465,82037,0
12-21,72,390,149,0,2981,335,0,167,38568,1115
